,feature_montant,eps,min_samples_value,n_clusters,n_noise
0,Montant_class_minmax,0.105,19,11,244
1,Montant_class_minmax,0.105,20,11,246
2,Montant_class_minmax,0.105,21,11,250
3,Montant_class_minmax,0.105,22,11,269
4,Montant_class_minmax,0.105,23,10,293
5,Montant_class_minmax,0.105,24,10,293
6,Montant_class_minmax,0.105,25,10,294
7,Montant_class_minmax,0.10538461538461538,19,11,244
8,Montant_class_minmax,0.10538461538461538,20,11,246
9,Montant_class_minmax,0.10538461538461538,21,11,250
10,Montant_class_minmax,0.10538461538461538,22,11,269
11,Montant_class_minmax,0.10538461538461538,23,10,293
12,Montant_class_minmax,0.10538461538461538,24,10,293
13,Montant_class_minmax,0.10538461538461538,25,10,294
14,Montant_class_minmax,0.10576923076923077,19,11,244
15,Montant_class_minmax,0.10576923076923077,20,11,246
16,Montant_class_minmax,0.10576923076923077,21,11,250
17,Montant_class_minmax,0.10576923076923077,22,11,269
18,Montant_class_minmax,0.10576923076923077,23,10,293
19,Montant_class_minmax,0.10576923076923077,24,10,293
20,Montant_class_minmax,0.10576923076923077,25,10,294
21,Montant_class_minmax,0.10615384615384615,19,11,244
22,Montant_class_minmax,0.10615384615384615,20,11,246
23,Montant_class_minmax,0.10615384615384615,21,11,250
24,Montant_class_minmax,0.10615384615384615,22,11,269
25,Montant_class_minmax,0.10615384615384615,23,10,293
26,Montant_class_minmax,0.10615384615384615,24,10,293
27,Montant_class_minmax,0.10615384615384615,25,10,294
28,Montant_class_minmax,0.10653846153846154,19,11,244
29,Montant_class_minmax,0.10653846153846154,20,11,245
30,Montant_class_minmax,0.10653846153846154,21,11,249
31,Montant_class_minmax,0.10653846153846154,22,11,250
32,Montant_class_minmax,0.10653846153846154,23,10,286
33,Montant_class_minmax,0.10653846153846154,24,10,290
34,Montant_class_minmax,0.10653846153846154,25,10,290
35,Montant_class_minmax,0.10692307692307693,19,11,244
36,Montant_class_minmax,0.10692307692307693,20,11,245
37,Montant_class_minmax,0.10692307692307693,21,11,249
38,Montant_class_minmax,0.10692307692307693,22,11,250
39,Montant_class_minmax,0.10692307692307693,23,10,286
40,Montant_class_minmax,0.10692307692307693,24,10,290
41,Montant_class_minmax,0.10692307692307693,25,10,290
42,Montant_class_minmax,0.1073076923076923,19,11,244
43,Montant_class_minmax,0.1073076923076923,20,11,245
44,Montant_class_minmax,0.1073076923076923,21,11,249
45,Montant_class_minmax,0.1073076923076923,22,11,250
46,Montant_class_minmax,0.1073076923076923,23,10,286
47,Montant_class_minmax,0.1073076923076923,24,10,290
48,Montant_class_minmax,0.1073076923076923,25,10,290
49,Montant_class_minmax,0.10769230769230768,19,11,244
50,Montant_class_minmax,0.10769230769230768,20,11,245
51,Montant_class_minmax,0.10769230769230768,21,11,249
52,Montant_class_minmax,0.10769230769230768,22,11,250
53,Montant_class_minmax,0.10769230769230768,23,10,286
54,Montant_class_minmax,0.10769230769230768,24,10,290
55,Montant_class_minmax,0.10769230769230768,25,10,290
56,Montant_class_minmax,0.10807692307692307,19,11,244
57,Montant_class_minmax,0.10807692307692307,20,11,245
58,Montant_class_minmax,0.10807692307692307,21,11,249
59,Montant_class_minmax,0.10807692307692307,22,11,250
60,Montant_class_minmax,0.10807692307692307,23,10,286
61,Montant_class_minmax,0.10807692307692307,24,10,290
62,Montant_class_minmax,0.10807692307692307,25,10,290
63,Montant_class_minmax,0.10846153846153846,19,12,225
64,Montant_class_minmax,0.10846153846153846,20,11,245
65,Montant_class_minmax,0.10846153846153846,21,11,247
66,Montant_class_minmax,0.10846153846153846,22,11,249
67,Montant_class_minmax,0.10846153846153846,23,11,263
68,Montant_class_minmax,0.10846153846153846,24,10,290
69,Montant_class_minmax,0.10846153846153846,25,10,290
70,Montant_class_minmax,0.10884615384615384,19,12,225
71,Montant_class_minmax,0.10884615384615384,20,11,245
72,Montant_class_minmax,0.10884615384615384,21,11,247
73,Montant_class_minmax,0.10884615384615384,22,11,249
74,Montant_class_minmax,0.10884615384615384,23,11,263
75,Montant_class_minmax,0.10884615384615384,24,10,290
76,Montant_class_minmax,0.10884615384615384,25,10,290
77,Montant_class_minmax,0.10923076923076923,19,12,225
78,Montant_class_minmax,0.10923076923076923,20,11,245
79,Montant_class_minmax,0.10923076923076923,21,11,247
80,Montant_class_minmax,0.10923076923076923,22,11,249
81,Montant_class_minmax,0.10923076923076923,23,11,263
82,Montant_class_minmax,0.10923076923076923,24,10,290
83,Montant_class_minmax,0.10923076923076923,25,10,290
84,Montant_class_minmax,0.10961538461538461,19,12,225
85,Montant_class_minmax,0.10961538461538461,20,11,245
86,Montant_class_minmax,0.10961538461538461,21,11,247
87,Montant_class_minmax,0.10961538461538461,22,11,249
88,Montant_class_minmax,0.10961538461538461,23,11,263
89,Montant_class_minmax,0.10961538461538461,24,10,290
90,Montant_class_minmax,0.10961538461538461,25,10,290
91,Montant_class_minmax,0.11,19,12,224
92,Montant_class_minmax,0.11,20,11,244
93,Montant_class_minmax,0.11,21,11,245
94,Montant_class_minmax,0.11,22,11,248
95,Montant_class_minmax,0.11,23,11,258
96,Montant_class_minmax,0.11,24,10,284
97,Montant_class_minmax,0.11,25,10,289
98,Montant_class_minmax,0.11038461538461539,19,12,224
99,Montant_class_minmax,0.11038461538461539,20,11,244
100,Montant_class_minmax,0.11038461538461539,21,11,245
101,Montant_class_minmax,0.11038461538461539,22,11,248
102,Montant_class_minmax,0.11038461538461539,23,11,258
103,Montant_class_minmax,0.11038461538461539,24,10,284
104,Montant_class_minmax,0.11038461538461539,25,10,289
105,Montant_class_minmax,0.11076923076923076,19,12,224
106,Montant_class_minmax,0.11076923076923076,20,11,244
107,Montant_class_minmax,0.11076923076923076,21,11,245
108,Montant_class_minmax,0.11076923076923076,22,11,248
109,Montant_class_minmax,0.11076923076923076,23,11,258
110,Montant_class_minmax,0.11076923076923076,24,10,284
111,Montant_class_minmax,0.11076923076923076,25,10,289
112,Montant_class_minmax,0.11115384615384614,19,12,224
113,Montant_class_minmax,0.11115384615384614,20,11,244
114,Montant_class_minmax,0.11115384615384614,21,11,245
115,Montant_class_minmax,0.11115384615384614,22,11,248
116,Montant_class_minmax,0.11115384615384614,23,11,258
117,Montant_class_minmax,0.11115384615384614,24,10,284
118,Montant_class_minmax,0.11115384615384614,25,10,289
119,Montant_class_minmax,0.11153846153846153,19,12,221
120,Montant_class_minmax,0.11153846153846153,20,12,222
121,Montant_class_minmax,0.11153846153846153,21,12,222
122,Montant_class_minmax,0.11153846153846153,22,11,245
123,Montant_class_minmax,0.11153846153846153,23,11,256
124,Montant_class_minmax,0.11153846153846153,24,10,283
125,Montant_class_minmax,0.11153846153846153,25,10,289
126,Montant_class_minmax,0.11192307692307692,19,12,221
127,Montant_class_minmax,0.11192307692307692,20,12,222
128,Montant_class_minmax,0.11192307692307692,21,12,222
129,Montant_class_minmax,0.11192307692307692,22,11,245
130,Montant_class_minmax,0.11192307692307692,23,11,256
131,Montant_class_minmax,0.11192307692307692,24,10,283
132,Montant_class_minmax,0.11192307692307692,25,10,289
133,Montant_class_minmax,0.1123076923076923,19,12,221
134,Montant_class_minmax,0.1123076923076923,20,12,222
135,Montant_class_minmax,0.1123076923076923,21,12,222
136,Montant_class_minmax,0.1123076923076923,22,11,245
137,Montant_class_minmax,0.1123076923076923,23,11,256
138,Montant_class_minmax,0.1123076923076923,24,10,283
139,Montant_class_minmax,0.1123076923076923,25,10,289
140,Montant_class_minmax,0.11269230769230769,19,12,221
141,Montant_class_minmax,0.11269230769230769,20,12,222
142,Montant_class_minmax,0.11269230769230769,21,12,222
143,Montant_class_minmax,0.11269230769230769,22,11,245
144,Montant_class_minmax,0.11269230769230769,23,11,256
145,Montant_class_minmax,0.11269230769230769,24,10,283
146,Montant_class_minmax,0.11269230769230769,25,10,289
147,Montant_class_minmax,0.11307692307692307,19,12,221
148,Montant_class_minmax,0.11307692307692307,20,12,222
149,Montant_class_minmax,0.11307692307692307,21,12,222
150,Montant_class_minmax,0.11307692307692307,22,11,245
151,Montant_class_minmax,0.11307692307692307,23,11,256
152,Montant_class_minmax,0.11307692307692307,24,10,283
153,Montant_class_minmax,0.11307692307692307,25,10,289
154,Montant_class_minmax,0.11346153846153846,19,13,202
155,Montant_class_minmax,0.11346153846153846,20,12,222
156,Montant_class_minmax,0.11346153846153846,21,12,222
157,Montant_class_minmax,0.11346153846153846,22,11,245
158,Montant_class_minmax,0.11346153846153846,23,11,256
159,Montant_class_minmax,0.11346153846153846,24,10,283
160,Montant_class_minmax,0.11346153846153846,25,10,284
161,Montant_class_minmax,0.11384615384615385,19,13,202
162,Montant_class_minmax,0.11384615384615385,20,12,222
163,Montant_class_minmax,0.11384615384615385,21,12,222
164,Montant_class_minmax,0.11384615384615385,22,11,245
165,Montant_class_minmax,0.11384615384615385,23,11,256
166,Montant_class_minmax,0.11384615384615385,24,10,283
167,Montant_class_minmax,0.11384615384615385,25,10,284
168,Montant_class_minmax,0.11423076923076922,19,13,202
169,Montant_class_minmax,0.11423076923076922,20,12,222
170,Montant_class_minmax,0.11423076923076922,21,12,222
171,Montant_class_minmax,0.11423076923076922,22,11,245
172,Montant_class_minmax,0.11423076923076922,23,11,256
173,Montant_class_minmax,0.11423076923076922,24,10,283
174,Montant_class_minmax,0.11423076923076922,25,10,284
175,Montant_class_minmax,0.11461538461538462,19,13,202
176,Montant_class_minmax,0.11461538461538462,20,12,222
177,Montant_class_minmax,0.11461538461538462,21,12,222
178,Montant_class_minmax,0.11461538461538462,22,11,245
179,Montant_class_minmax,0.11461538461538462,23,11,256
180,Montant_class_minmax,0.11461538461538462,24,10,283
181,Montant_class_minmax,0.11461538461538462,25,10,284
182,Montant_class_minmax,0.11499999999999999,19,13,194
183,Montant_class_minmax,0.11499999999999999,20,12,222
184,Montant_class_minmax,0.11499999999999999,21,12,222
185,Montant_class_minmax,0.11499999999999999,22,11,243
186,Montant_class_minmax,0.11499999999999999,23,11,251
187,Montant_class_minmax,0.11499999999999999,24,11,258
188,Montant_class_minmax,0.11499999999999999,25,10,283
189,Montant_class_minmax,0.11538461538461538,19,13,194
190,Montant_class_minmax,0.11538461538461538,20,12,222
191,Montant_class_minmax,0.11538461538461538,21,12,222
192,Montant_class_minmax,0.11538461538461538,22,11,243
193,Montant_class_minmax,0.11538461538461538,23,11,251
194,Montant_class_minmax,0.11538461538461538,24,11,258
195,Montant_class_minmax,0.11538461538461538,25,10,283
196,Montant_class_minmax,0.11576923076923076,19,13,194
197,Montant_class_minmax,0.11576923076923076,20,12,222
198,Montant_class_minmax,0.11576923076923076,21,12,222
199,Montant_class_minmax,0.11576923076923076,22,11,243
200,Montant_class_minmax,0.11576923076923076,23,11,251
201,Montant_class_minmax,0.11576923076923076,24,11,258
202,Montant_class_minmax,0.11576923076923076,25,10,283
203,Montant_class_minmax,0.11615384615384615,19,13,194
204,Montant_class_minmax,0.11615384615384615,20,12,222
205,Montant_class_minmax,0.11615384615384615,21,12,222
206,Montant_class_minmax,0.11615384615384615,22,11,243
207,Montant_class_minmax,0.11615384615384615,23,11,251
208,Montant_class_minmax,0.11615384615384615,24,11,258
209,Montant_class_minmax,0.11615384615384615,25,10,283
210,Montant_class_minmax,0.11653846153846154,19,13,194
211,Montant_class_minmax,0.11653846153846154,20,12,222
212,Montant_class_minmax,0.11653846153846154,21,12,222
213,Montant_class_minmax,0.11653846153846154,22,11,243
214,Montant_class_minmax,0.11653846153846154,23,11,250
215,Montant_class_minmax,0.11653846153846154,24,11,255
216,Montant_class_minmax,0.11653846153846154,25,10,281
217,Montant_class_minmax,0.11692307692307692,19,13,194
218,Montant_class_minmax,0.11692307692307692,20,12,222
219,Montant_class_minmax,0.11692307692307692,21,12,222
220,Montant_class_minmax,0.11692307692307692,22,11,243
221,Montant_class_minmax,0.11692307692307692,23,11,250
222,Montant_class_minmax,0.11692307692307692,24,11,255
223,Montant_class_minmax,0.11692307692307692,25,10,281
224,Montant_class_minmax,0.11730769230769231,19,13,194
225,Montant_class_minmax,0.11730769230769231,20,12,222
226,Montant_class_minmax,0.11730769230769231,21,12,222
227,Montant_class_minmax,0.11730769230769231,22,11,243
228,Montant_class_minmax,0.11730769230769231,23,11,250
229,Montant_class_minmax,0.11730769230769231,24,11,255
230,Montant_class_minmax,0.11730769230769231,25,10,281
231,Montant_class_minmax,0.1176923076923077,19,13,194
232,Montant_class_minmax,0.1176923076923077,20,12,222
233,Montant_class_minmax,0.1176923076923077,21,12,222
234,Montant_class_minmax,0.1176923076923077,22,11,243
235,Montant_class_minmax,0.1176923076923077,23,11,250
236,Montant_class_minmax,0.1176923076923077,24,11,255
237,Montant_class_minmax,0.1176923076923077,25,10,281
238,Montant_class_minmax,0.11807692307692308,19,13,194
239,Montant_class_minmax,0.11807692307692308,20,12,222
240,Montant_class_minmax,0.11807692307692308,21,12,222
241,Montant_class_minmax,0.11807692307692308,22,11,243
242,Montant_class_minmax,0.11807692307692308,23,11,250
243,Montant_class_minmax,0.11807692307692308,24,11,255
244,Montant_class_minmax,0.11807692307692308,25,10,281
245,Montant_class_minmax,0.11846153846153845,19,13,192
246,Montant_class_minmax,0.11846153846153845,20,13,202
247,Montant_class_minmax,0.11846153846153845,21,12,222
248,Montant_class_minmax,0.11846153846153845,22,11,243
249,Montant_class_minmax,0.11846153846153845,23,11,245
250,Montant_class_minmax,0.11846153846153845,24,11,246
251,Montant_class_minmax,0.11846153846153845,25,11,251
252,Montant_class_minmax,0.11884615384615384,19,13,192
253,Montant_class_minmax,0.11884615384615384,20,13,202
254,Montant_class_minmax,0.11884615384615384,21,12,222
255,Montant_class_minmax,0.11884615384615384,22,11,243
256,Montant_class_minmax,0.11884615384615384,23,11,245
257,Montant_class_minmax,0.11884615384615384,24,11,246
258,Montant_class_minmax,0.11884615384615384,25,11,251
259,Montant_class_minmax,0.11923076923076922,19,13,192
260,Montant_class_minmax,0.11923076923076922,20,13,202
261,Montant_class_minmax,0.11923076923076922,21,12,222
262,Montant_class_minmax,0.11923076923076922,22,11,243
263,Montant_class_minmax,0.11923076923076922,23,11,245
264,Montant_class_minmax,0.11923076923076922,24,11,246
265,Montant_class_minmax,0.11923076923076922,25,11,251
266,Montant_class_minmax,0.11961538461538461,19,13,192
267,Montant_class_minmax,0.11961538461538461,20,13,202
268,Montant_class_minmax,0.11961538461538461,21,12,222
269,Montant_class_minmax,0.11961538461538461,22,11,243
270,Montant_class_minmax,0.11961538461538461,23,11,245
271,Montant_class_minmax,0.11961538461538461,24,11,246
272,Montant_class_minmax,0.11961538461538461,25,11,251
273,Montant_class_minmax,0.12,19,13,168
274,Montant_class_minmax,0.12,20,13,202
275,Montant_class_minmax,0.12,21,12,222
276,Montant_class_minmax,0.12,22,11,243
277,Montant_class_minmax,0.12,23,11,245
278,Montant_class_minmax,0.12,24,11,246
279,Montant_class_minmax,0.12,25,11,247
