,feature_montant,eps,min_samples_value,n_clusters,n_noise
0,Montant_log_minmax,0.1375,3,2,1
1,Montant_log_minmax,0.1375,4,2,1
2,Montant_log_minmax,0.1375,5,2,1
3,Montant_log_minmax,0.1375,10,2,3
4,Montant_log_minmax,0.1375,15,2,3
5,Montant_log_minmax,0.1375,20,2,3
6,Montant_log_minmax,0.14076666666666668,3,2,1
7,Montant_log_minmax,0.14076666666666668,4,2,1
8,Montant_log_minmax,0.14076666666666668,5,2,1
9,Montant_log_minmax,0.14076666666666668,10,2,3
10,Montant_log_minmax,0.14076666666666668,15,2,3
11,Montant_log_minmax,0.14076666666666668,20,2,3
12,Montant_log_minmax,0.14403333333333335,3,2,1
13,Montant_log_minmax,0.14403333333333335,4,2,1
14,Montant_log_minmax,0.14403333333333335,5,2,1
15,Montant_log_minmax,0.14403333333333335,10,2,3
16,Montant_log_minmax,0.14403333333333335,15,2,3
17,Montant_log_minmax,0.14403333333333335,20,2,3
18,Montant_log_minmax,0.14730000000000001,3,2,1
19,Montant_log_minmax,0.14730000000000001,4,2,1
20,Montant_log_minmax,0.14730000000000001,5,2,1
21,Montant_log_minmax,0.14730000000000001,10,2,3
22,Montant_log_minmax,0.14730000000000001,15,2,3
23,Montant_log_minmax,0.14730000000000001,20,2,3
24,Montant_log_minmax,0.15056666666666668,3,2,1
25,Montant_log_minmax,0.15056666666666668,4,2,1
26,Montant_log_minmax,0.15056666666666668,5,2,1
27,Montant_log_minmax,0.15056666666666668,10,2,2
28,Montant_log_minmax,0.15056666666666668,15,2,3
29,Montant_log_minmax,0.15056666666666668,20,2,3
30,Montant_log_minmax,0.15383333333333332,3,2,1
31,Montant_log_minmax,0.15383333333333332,4,2,1
32,Montant_log_minmax,0.15383333333333332,5,2,1
33,Montant_log_minmax,0.15383333333333332,10,2,2
34,Montant_log_minmax,0.15383333333333332,15,2,3
35,Montant_log_minmax,0.15383333333333332,20,2,3
36,Montant_log_minmax,0.1571,3,2,1
37,Montant_log_minmax,0.1571,4,2,1
38,Montant_log_minmax,0.1571,5,2,1
39,Montant_log_minmax,0.1571,10,2,1
40,Montant_log_minmax,0.1571,15,2,2
41,Montant_log_minmax,0.1571,20,2,3
42,Montant_log_minmax,0.16036666666666666,3,2,1
43,Montant_log_minmax,0.16036666666666666,4,2,1
44,Montant_log_minmax,0.16036666666666666,5,2,1
45,Montant_log_minmax,0.16036666666666666,10,2,1
46,Montant_log_minmax,0.16036666666666666,15,2,1
47,Montant_log_minmax,0.16036666666666666,20,2,3
48,Montant_log_minmax,0.16363333333333333,3,2,1
49,Montant_log_minmax,0.16363333333333333,4,2,1
50,Montant_log_minmax,0.16363333333333333,5,2,1
51,Montant_log_minmax,0.16363333333333333,10,2,1
52,Montant_log_minmax,0.16363333333333333,15,2,1
53,Montant_log_minmax,0.16363333333333333,20,2,3
54,Montant_log_minmax,0.1669,3,2,1
55,Montant_log_minmax,0.1669,4,2,1
56,Montant_log_minmax,0.1669,5,2,1
57,Montant_log_minmax,0.1669,10,2,1
58,Montant_log_minmax,0.1669,15,2,1
59,Montant_log_minmax,0.1669,20,2,2
60,Montant_qtuni_minmax,0.23,3,2,1
61,Montant_qtuni_minmax,0.23,4,2,1
62,Montant_qtuni_minmax,0.23,5,2,1
63,Montant_qtuni_minmax,0.23,10,2,1
64,Montant_qtuni_minmax,0.23,15,2,1
65,Montant_qtuni_minmax,0.23,20,2,1
66,Montant_qtuni_minmax,0.2349,3,2,1
67,Montant_qtuni_minmax,0.2349,4,2,1
68,Montant_qtuni_minmax,0.2349,5,2,1
69,Montant_qtuni_minmax,0.2349,10,2,1
70,Montant_qtuni_minmax,0.2349,15,2,1
71,Montant_qtuni_minmax,0.2349,20,2,1
72,Montant_qtuni_minmax,0.2398,3,2,1
73,Montant_qtuni_minmax,0.2398,4,2,1
74,Montant_qtuni_minmax,0.2398,5,2,1
75,Montant_qtuni_minmax,0.2398,10,2,1
76,Montant_qtuni_minmax,0.2398,15,2,1
77,Montant_qtuni_minmax,0.2398,20,2,1
78,Montant_qtuni_minmax,0.2447,3,2,1
79,Montant_qtuni_minmax,0.2447,4,2,1
80,Montant_qtuni_minmax,0.2447,5,2,1
81,Montant_qtuni_minmax,0.2447,10,2,1
82,Montant_qtuni_minmax,0.2447,15,2,1
83,Montant_qtuni_minmax,0.2447,20,2,1
84,Montant_qtuni_minmax,0.24960000000000002,3,2,1
85,Montant_qtuni_minmax,0.24960000000000002,4,2,1
86,Montant_qtuni_minmax,0.24960000000000002,5,2,1
87,Montant_qtuni_minmax,0.24960000000000002,10,2,1
88,Montant_qtuni_minmax,0.24960000000000002,15,2,1
89,Montant_qtuni_minmax,0.24960000000000002,20,2,1
90,Montant_qtuni_minmax,0.2545,3,2,1
91,Montant_qtuni_minmax,0.2545,4,2,1
92,Montant_qtuni_minmax,0.2545,5,2,1
93,Montant_qtuni_minmax,0.2545,10,2,1
94,Montant_qtuni_minmax,0.2545,15,2,1
95,Montant_qtuni_minmax,0.2545,20,2,1
96,Montant_qtuni_minmax,0.2594,3,2,1
97,Montant_qtuni_minmax,0.2594,4,2,1
98,Montant_qtuni_minmax,0.2594,5,2,1
99,Montant_qtuni_minmax,0.2594,10,2,1
100,Montant_qtuni_minmax,0.2594,15,2,1
101,Montant_qtuni_minmax,0.2594,20,2,1
102,Montant_qtuni_minmax,0.2643,3,2,1
103,Montant_qtuni_minmax,0.2643,4,2,1
104,Montant_qtuni_minmax,0.2643,5,2,1
105,Montant_qtuni_minmax,0.2643,10,2,1
106,Montant_qtuni_minmax,0.2643,15,2,1
107,Montant_qtuni_minmax,0.2643,20,2,1
108,Montant_qtuni_minmax,0.2692,3,2,1
109,Montant_qtuni_minmax,0.2692,4,2,1
110,Montant_qtuni_minmax,0.2692,5,2,1
111,Montant_qtuni_minmax,0.2692,10,2,1
112,Montant_qtuni_minmax,0.2692,15,2,1
113,Montant_qtuni_minmax,0.2692,20,2,1
