,feature_montant,eps,min_samples_value,n_clusters,n_noise
0,Montant_class_minmax,0.105,18,12,223
1,Montant_class_minmax,0.105,19,11,244
2,Montant_class_minmax,0.105,20,11,246
3,Montant_class_minmax,0.105,21,11,250
4,Montant_class_minmax,0.105,22,11,269
5,Montant_class_minmax,0.10552631578947368,18,12,223
6,Montant_class_minmax,0.10552631578947368,19,11,244
7,Montant_class_minmax,0.10552631578947368,20,11,246
8,Montant_class_minmax,0.10552631578947368,21,11,250
9,Montant_class_minmax,0.10552631578947368,22,11,269
10,Montant_class_minmax,0.10605263157894737,18,12,223
11,Montant_class_minmax,0.10605263157894737,19,11,244
12,Montant_class_minmax,0.10605263157894737,20,11,246
13,Montant_class_minmax,0.10605263157894737,21,11,250
14,Montant_class_minmax,0.10605263157894737,22,11,269
15,Montant_class_minmax,0.10657894736842105,18,12,223
16,Montant_class_minmax,0.10657894736842105,19,11,244
17,Montant_class_minmax,0.10657894736842105,20,11,245
18,Montant_class_minmax,0.10657894736842105,21,11,249
19,Montant_class_minmax,0.10657894736842105,22,11,250
20,Montant_class_minmax,0.10710526315789473,18,12,223
21,Montant_class_minmax,0.10710526315789473,19,11,244
22,Montant_class_minmax,0.10710526315789473,20,11,245
23,Montant_class_minmax,0.10710526315789473,21,11,249
24,Montant_class_minmax,0.10710526315789473,22,11,250
25,Montant_class_minmax,0.10763157894736843,18,12,223
26,Montant_class_minmax,0.10763157894736843,19,11,244
27,Montant_class_minmax,0.10763157894736843,20,11,245
28,Montant_class_minmax,0.10763157894736843,21,11,249
29,Montant_class_minmax,0.10763157894736843,22,11,250
30,Montant_class_minmax,0.1081578947368421,18,13,205
31,Montant_class_minmax,0.1081578947368421,19,12,225
32,Montant_class_minmax,0.1081578947368421,20,11,245
33,Montant_class_minmax,0.1081578947368421,21,11,247
34,Montant_class_minmax,0.1081578947368421,22,11,249
35,Montant_class_minmax,0.10868421052631579,18,13,205
36,Montant_class_minmax,0.10868421052631579,19,12,225
37,Montant_class_minmax,0.10868421052631579,20,11,245
38,Montant_class_minmax,0.10868421052631579,21,11,247
39,Montant_class_minmax,0.10868421052631579,22,11,249
40,Montant_class_minmax,0.10921052631578948,18,13,205
41,Montant_class_minmax,0.10921052631578948,19,12,225
42,Montant_class_minmax,0.10921052631578948,20,11,245
43,Montant_class_minmax,0.10921052631578948,21,11,247
44,Montant_class_minmax,0.10921052631578948,22,11,249
45,Montant_class_minmax,0.10973684210526316,18,13,205
46,Montant_class_minmax,0.10973684210526316,19,12,225
47,Montant_class_minmax,0.10973684210526316,20,11,245
48,Montant_class_minmax,0.10973684210526316,21,11,247
49,Montant_class_minmax,0.10973684210526316,22,11,249
50,Montant_class_minmax,0.11026315789473684,18,13,204
51,Montant_class_minmax,0.11026315789473684,19,12,224
52,Montant_class_minmax,0.11026315789473684,20,11,244
53,Montant_class_minmax,0.11026315789473684,21,11,245
54,Montant_class_minmax,0.11026315789473684,22,11,248
55,Montant_class_minmax,0.11078947368421052,18,13,204
56,Montant_class_minmax,0.11078947368421052,19,12,224
57,Montant_class_minmax,0.11078947368421052,20,11,244
58,Montant_class_minmax,0.11078947368421052,21,11,245
59,Montant_class_minmax,0.11078947368421052,22,11,248
60,Montant_class_minmax,0.11131578947368422,18,13,204
61,Montant_class_minmax,0.11131578947368422,19,12,224
62,Montant_class_minmax,0.11131578947368422,20,11,244
63,Montant_class_minmax,0.11131578947368422,21,11,245
64,Montant_class_minmax,0.11131578947368422,22,11,248
65,Montant_class_minmax,0.1118421052631579,18,12,203
66,Montant_class_minmax,0.1118421052631579,19,12,221
67,Montant_class_minmax,0.1118421052631579,20,12,222
68,Montant_class_minmax,0.1118421052631579,21,12,222
69,Montant_class_minmax,0.1118421052631579,22,11,245
70,Montant_class_minmax,0.11236842105263158,18,12,203
71,Montant_class_minmax,0.11236842105263158,19,12,221
72,Montant_class_minmax,0.11236842105263158,20,12,222
73,Montant_class_minmax,0.11236842105263158,21,12,222
74,Montant_class_minmax,0.11236842105263158,22,11,245
75,Montant_class_minmax,0.11289473684210527,18,12,203
76,Montant_class_minmax,0.11289473684210527,19,12,221
77,Montant_class_minmax,0.11289473684210527,20,12,222
78,Montant_class_minmax,0.11289473684210527,21,12,222
79,Montant_class_minmax,0.11289473684210527,22,11,245
80,Montant_class_minmax,0.11342105263157895,18,12,202
81,Montant_class_minmax,0.11342105263157895,19,13,202
82,Montant_class_minmax,0.11342105263157895,20,12,222
83,Montant_class_minmax,0.11342105263157895,21,12,222
84,Montant_class_minmax,0.11342105263157895,22,11,245
85,Montant_class_minmax,0.11394736842105263,18,12,202
86,Montant_class_minmax,0.11394736842105263,19,13,202
87,Montant_class_minmax,0.11394736842105263,20,12,222
88,Montant_class_minmax,0.11394736842105263,21,12,222
89,Montant_class_minmax,0.11394736842105263,22,11,245
90,Montant_class_minmax,0.11447368421052632,18,12,202
91,Montant_class_minmax,0.11447368421052632,19,13,202
92,Montant_class_minmax,0.11447368421052632,20,12,222
93,Montant_class_minmax,0.11447368421052632,21,12,222
94,Montant_class_minmax,0.11447368421052632,22,11,245
95,Montant_class_minmax,0.115,18,13,174
96,Montant_class_minmax,0.115,19,13,194
97,Montant_class_minmax,0.115,20,12,222
98,Montant_class_minmax,0.115,21,12,222
99,Montant_class_minmax,0.115,22,11,243
